id,nombre_producto,categoria,imagen_url,precio_usd,descripcion,caracteristicas
1784229333245_0,AMOEBA AEG M4 AM-014 CARBINE AIRSOFT RIFLE BLACK,Airsoft,https://www.arsenalsports.com/img/8345/produtos/400/9a84e8094d204d5841d57a8f7f90c6e6.png,249,La descripción de este producto se actualizará próximamente.,Las características se actualizarán próximamente.
1784229335571_1,AMOEBA AEG M4 MUTANT AMM13 AIRSOFT RIFLE BLACK,Airsoft,https://www.arsenalsports.com/img/17958/produtos/400/c3a7d58e79abfe10321a5612717ea0ff.jpg,219,La descripción de este producto se actualizará próximamente.,Las características se actualizarán próximamente.
1784229337388_2,AMOEBA AEG M4 MUTANT AMM7 AIRSOFT RIFLE BLACK,Airsoft,https://www.arsenalsports.com/img/17954/produtos/400/206132d9cfac8c83930eb760f11ed3f7.jpg,219,La descripción de este producto se actualizará próximamente.,Las características se actualizarán próximamente.
1784229340781_3,"SEEKINS PRECISION EMG G&G AEG TGR SBR8 12"" RAIL AIRSOFT RIFLE GREY",Airsoft,https://www.arsenalsports.com/img/23378/produtos/400/cb32bf2a97c2bf4f492db1d314d95696.jpg,390,La descripción de este producto se actualizará próximamente.,Las características se actualizarán próximamente.
1784229343587_4,TARAN TACTICAL EMG STI ARMORER WORKS GBB HI-CAPA 2011 DVC 3-GUN BLOWBACK AIRSOFT PISTOL BLACK,Airsoft,https://www.arsenalsports.com/img/15482/produtos/400/3d9c4944e9a09cf18583b262aabaeae5.png,176,La descripción de este producto se actualizará próximamente.,Las características se actualizarán próximamente.
1784229348712_5,TARAN TACTICAL JAG PRECISION ARMY ARMAMENT GBB HI-CAPA JW4 TTI ALPHA COMBAT MASTER BLOWBACK AIRSOFT PISTOL DUAL TONE,Airsoft,https://www.arsenalsports.com/img/25444/produtos/400/6558418d47a3f74fe657b56c14dae2d7.png,169,La descripción de este producto se actualizará próximamente.,Las características se actualizarán próximamente.
1784229350380_6,TARAN TACTICAL JAG PRECISION ARMY ARMAMENT GBB HI-CAPA JW4 TTI PIT VIPER CNC BLOWBACK AIRSOFT PISTOL BLACK,Airsoft,https://www.arsenalsports.com/img/25445/produtos/400/9f9c6cdf3256650b0e6444ea61c98585.png,156,La descripción de este producto se actualizará próximamente.,Las características se actualizarán próximamente.
1784229352013_7,TARAN TACTICAL JAG PRECISION ARMY ARMAMENT GBB HI-CAPA JW4 TTI PIT VIPER STANDARD BLOWBACK AIRSOFT PISTOL BLACK,Airsoft,https://www.arsenalsports.com/img/25446/produtos/400/05283d78a7f936cf227747109b697bdc.png,129,La descripción de este producto se actualizará próximamente.,Las características se actualizarán próximamente.
1784229353665_8,TARAN TACTICAL JAG PRECISION ARMY ARMAMENT GBB HI-CAPA JW4 TTI SAND VIPER CNC BLOWBACK AIRSOFT PISTOL BRONZE,Airsoft,https://www.arsenalsports.com/img/25448/produtos/400/d04d645fb3b40e7316b6375c51a99306.png,166,La descripción de este producto se actualizará próximamente.,Las características se actualizarán próximamente.
1784229355329_9,A&K AEG MASADA LONG ACR ADAPTIVE COMBAT AIRSOFT RIFLE BLACK,Airsoft,https://www.arsenalsports.com/img/27410/produtos/400/f99569bdcfbc6834f91fe50e90e3d5bc.jpg,269,La descripción de este producto se actualizará próximamente.,Las características se actualizarán próximamente.
